CSV Row,Handle,Title,Status,Variant SKU,Option1 Value,Before Price,Before Compare At Price,Reason
4,untitled-aug17_12-42-17,Untitled Aug17_12:42:17,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
31,untitled-jul19_19-21-20,Untitled Jul19_19:21:20,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
100,untitled-jun4_19-14-22,Untitled Jun4_19:14:22,draft,,550,0.00,,Draft product left unchanged until it is prepared for publication
101,untitled-jun4_15-16-41,Untitled Jun4_15:16:41,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
104,untitled-may30_18-28-07,Untitled May30_18:28:07,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
160,untitled-may26_11-58-17,Untitled May26_11:58:17,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
163,untitled-may25_21-45-02,Untitled May25_21:45:02,draft,,Default Title,899.00,,Draft product left unchanged until it is prepared for publication
167,untitled-may25_16-41-04,Untitled May25_16:41:04,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
179,untitled-may15_09-54-42,Untitled May15_09:54:42,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
181,untitled-may2_22-24,Untitled May2_22:24,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
192,untitled-mar6_19-04,Love Nail Bracelet,draft,,Default Title,500.00,,Draft product left unchanged until it is prepared for publication
222,untitled-jan30_22-15,Untitled Jan30_22:14,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
223,untitled-jan30_22-14,Untitled Jan30_22:14,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
226,untitled-jan30_22-09,Untitled Jan30_22:09,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
227,untitled-jan22_13-08,Untitled Jan22_13:08,draft,,Default Title,54.00,,Draft product left unchanged until it is prepared for publication
239,untitled-jan20_16-21,Untitled Jan20_16:21,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
246,untitled-dec30_22-50,Untitled Dec30_22:50,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
251,untitled-dec30_21-51,Untitled Dec30_21:51,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
265,untitled-dec29_21-47,Untitled Dec29_21:47,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
267,untitled-dec29_21-40,Untitled Dec29_21:40,draft,,Default Title,349.00,,Draft product left unchanged until it is prepared for publication
269,untitled-dec27_13-37,Untitled Dec27_13:37,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
270,untitled-dec27_12-31,Untitled Dec27_12:31,draft,,Default Title,0.00,,Draft product left unchanged until it is prepared for publication
