CSV Row,Handle,Title,Status,Variant SKU,Option1 Value,Before Price,Before Compare At Price,Reason
21,sister-rakhi-hamper,Sister Rakhi Hamper,active,,Default Title,1199.00,2100.00,Rakshabandhan Hampers collection exclusion
27,bhaiya-bhabhi-rakhi-hamper,Bhaiya Bhabhi Rakhi Hamper,active,,Default Title,1099.00,1399.00,Rakshabandhan Hampers collection exclusion
28,celebration-rakhi-hamper,Celebration Rakhi Hamper,active,,Default Title,1099.00,1299.00,Rakshabandhan Hampers collection exclusion
30,rakshabandhan-celebration-hamper,Signature Rakhi Hamper,active,,Default Title,1599.00,,Rakshabandhan Hampers collection exclusion
36,mystery-jars,Mystery Jars,active,,Trial Jar,599.00,,Mystery Jars exclusion
37,mystery-jars,Mystery Jars,active,,Mini Jar,1199.00,,Mystery Jars exclusion
38,mystery-jars,Mystery Jars,active,,Big Mystery Jar,3500.00,,Mystery Jars exclusion
39,mystery-jars,Mystery Jars,active,,Limited Edition Signature Jar,6000.00,7000.00,Mystery Jars exclusion
107,aurora-knot-drops,Aurora Knot Drops,active,,Default Title,999.00,,Ocean Whisper collection exclusion
109,crystal-dewdrop-earring,Crystal Dewdrop Earring,active,,Default Title,999.00,,Ocean Whisper collection exclusion
161,velisse-bracelet,Velisse Bracelet| 316L Gold Plated Bracelet,active,,Default Title,1299.00,1500.00,Ocean Whisper collection exclusion
166,halo-bloom-multicolour-ring,Halo Bloom Multicolour Ring,active,,Default Title,1199.00,,Ocean Whisper collection exclusion
170,elara-solitaire,Elara Solitaire,active,,Default Title,1199.00,,Ocean Whisper collection exclusion
174,seashell-sorbet-earrings,Seashell Sorbet Earrings,active,,Default Title,1099.00,,Ocean Whisper collection exclusion
176,ocean-muse-layered-necklace,Ocean Muse Layered Necklace,active,,Default Title,1199.00,,Ocean Whisper collection exclusion
