CSV Row,Handle,Title,Status,Variant SKU,Option1 Value,Before Price,Before Compare At Price,Original Price Used,After Price (40% off),After Compare At Price,Calculation Basis
2,lover-heart-necklace,Lover Heart Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
5,seraphina-braid-watch-stainless-steel-18k-gold-plated,Seraphina Braid Watch| Stainless Steel| 18k gold plated,active,,Default Title,950.00,,950.00,570.00,950.00,Current variant price
7,aurea-woven-luxe-watch-18k-gold-plated-stainless-steel-womens-bracelet-watch,Auréa Woven Luxe Watch – 18K Gold Plated Stainless Steel Women's Bracelet Watch,active,,Default Title,950.00,,950.00,570.00,950.00,Current variant price
8,midnight-mesh-heart-bracelet-18k-gold-plated-anti-tarnish,Midnight Mesh Heart Bracelet| 18k gold plated| Anti Tarnish,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
10,crystal-snake-chain-bracelet-18k-gold-plated-anti-tarnish,Crystal Snake Chain Bracelet| 18k gold plated| Anti Tarnish,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
12,celeste-double-chain-bracelet-anti-tarnish-18k-gold-plated,Celeste Double Chain Bracelet| Anti Tarnish| 18k gold Plated,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
14,green-crystal-tennis-bracelet-for-women-waterproof-anti-tarnish,Green Crystal Tennis Bracelet for Women | Waterproof Anti Tarnish,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
16,golden-fringe-necklace,Golden Fringe Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
19,luna-heart-lariat-necklace,Luna Heart Lariat Necklace,active,,Default Title,500.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
23,aurora-tennis-bracelet,Aurora Tennis Bracelet,active,,Default Title,750.00,,750.00,450.00,750.00,Current variant price
25,cotton-candy-tennis-bracelet,Cotton Candy Tennis Bracelet,active,,Default Title,750.00,,750.00,450.00,750.00,Current variant price
32,blush-clover-charm-necklace,Blush Clover Charm Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
34,luna-owl-charm-necklace,Luna Owl Charm Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
40,ruby-blossom-bracelet,Ruby Blossom Bracelet,active,,Default Title,1199.00,,1199.00,719.40,1199.00,Current variant price
42,rose-charm-necklace,Rosè Charm Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
44,eterna-orbit-necklace,Eterna Orbit Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
46,champagne-glow-necklace,Champagne Glow Necklace,active,,Default Title,375.00,,375.00,225.00,375.00,Current variant price
49,aurum-arc-necklace,Aurum Arc Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
51,infinite-grace-necklace,Infinite Grace Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
53,flutter-grace-drop-necklace,Flutter Grace Drop Necklace,active,,Default Title,375.00,,375.00,225.00,375.00,Current variant price
55,carnival-charm-necklace,Carnival Charm Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
57,adjustable-geo-heart-necklace,Adjustable Geo Heart Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
59,adjustable-clover-cascade-necklace,Adjustable Clover Cascade Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
61,celeste-pearl-cascade-necklace,Celeste Pearl Cascade Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
63,amoura-beaded-heart-necklace,Amoura Beaded Heart Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
66,hollow-heart-necklace,Hollow Heart Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
69,radiant-heart-necklace,Radiant Heart Necklace,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
71,prism-drop-choker,Prism Drop Choker,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
73,seabreeze-charm-choker,Seabreeze Charm Choker,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
75,mama-me-necklace,Mama & Me Necklace,active,,Default Title,450.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
78,solara-heart-pendent,Solara Heart Pendent,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
81,carnival-charm-baby-size-2-2-bangles,Carnival Charm Baby Size (2.2) Bangles,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
83,bloom-pendent-necklace,Bloom Pendent Necklace,active,,Default Title,450.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
85,infinity-aura-baby-bracelet,Infinity Aura Baby Bracelet,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
88,melt-muse-necklace,Melt Muse Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
90,oreo-soulmate-charm-necklace,Dog Heart Soulmate Charm Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
92,the-emerald-muse,The Emerald Muse,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
94,serpentina-luxe-chain,Serpentina Luxe Chain,active,,Default Title,450.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
96,golden-promise-necklace,Golden Promise Necklace,active,,Default Title,550.00,750.00,750.00,450.00,750.00,Existing positive compare-at price
102,moonwave-pearl-cuff,Moonwave Pearl Cuff,active,,Default Title,650.00,1000.00,1000.00,600.00,1000.00,Existing positive compare-at price
105,midnight-muse-italian-bracelet-watch,Midnight Muse Italian Bracelet Watch,active,,Default Title,1399.00,,1399.00,839.40,1399.00,Current variant price
111,pearl-tide-star-studs,Pearl Tide Star Studs,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
113,ivory-muse-pearl-stud,Ivory Muse Pearl Stud,active,,Default Title,300.00,,300.00,180.00,300.00,Current variant price
114,solara-radiance-drops,Solara Radiance Drops,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
116,twisted-hoops,Twisted Hoops,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
118,daisy-dazzle-hoops,Daisy Dazzle Hoops,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
120,lumiere-drop-hoops,Lumière Drop Hoops,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
122,lyra-glow-earrings,Lyra Glow Earrings,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
124,eternal-tulip-stud,Eternal Tulip Stud,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
127,verdant-bloom-studs,Verdant Bloom Studs,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
129,golden-cascade-tassel-earring,Golden Cascade Tassel Earring,active,,Default Title,600.00,,600.00,360.00,600.00,Current variant price
130,cupid-s-knot-earrings,Cupid’s Knot Earrings,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
132,golden-heartbeat-studs,Golden Heartbeat Studs,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
134,pearl-reverie-stud,Pearl Reverie Stud,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
136,ophelia-spark-hoops,Ophelia Spark Hoops,active,,Default Title,450.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
138,infinity-glow-studs,Infinity Glow Studs,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
140,ribbon-of-grace-studs,Ribbon of Grace Studs,active,,Default Title,350.00,,350.00,210.00,350.00,Current variant price
142,vienna-gold-dangles,Vienna Gold Dangles,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
143,bow-of-love-drops,Bow of Love Drops,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
144,moonlit-charm-hoops,Moonlit Charm Hoops,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
146,icon-studs,Icon Stud,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
147,rose-prism-studs,Rosè Prism Stud,active,,Default Title,550.00,650.00,650.00,390.00,650.00,Existing positive compare-at price
148,candy-gem-cascade-drops,Candy Gem Cascade Drops,active,,Default Title,650.00,,650.00,390.00,650.00,Current variant price
149,milano-crystal-drops,Milano Crystal Drops,active,,Default Title,650.00,,650.00,390.00,650.00,Current variant price
150,emerald-envy-deops,Emerald Envy Drops,active,,Default Title,650.00,,650.00,390.00,650.00,Current variant price
151,aurora-mosaic-drops,Aurora Mosaic Drops,active,,Default Title,650.00,,650.00,390.00,650.00,Current variant price
152,elysian-gold-drop-statement-earrings,Elysian Gold Drop Statement Earrings,active,,Default Title,650.00,,650.00,390.00,650.00,Current variant price
153,jade-romance-stud,Jade Romance Stud,active,,Default Title,350.00,,350.00,210.00,350.00,Current variant price
154,nova-frame-studs,Nova Frame Stud,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
156,celeste-bow-stud,Celeste Bow Stud,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
157,cupid-s-spark-earrings,Cupid’s Spark Earrings,active,,Default Title,400.00,550.00,550.00,330.00,550.00,Existing positive compare-at price
159,evil-eye-luxe-bracelet,Evil Eye Luxe Bracelet,active,,Default Title,699.00,999.00,999.00,599.40,999.00,Existing positive compare-at price
164,isla-crystal-ring,Isla Crystal Ring,active,,Default Title,1199.00,,1199.00,719.40,1199.00,Current variant price
168,halo-bloom-adjustable-ring,Halo Bloom Adjustable Ring,active,,Default Title,1199.00,,1199.00,719.40,1199.00,Current variant price
172,premium-jewellery-hamper-box,Premium Jewellery Hamper Box,active,,Default Title,3999.00,,3999.00,2399.40,3999.00,Current variant price
173,jewellery-gift-box,Jewellery Gift Box,active,,Default Title,1199.00,,1199.00,719.40,1199.00,Current variant price
177,serpentina-layered-necklace,Serpentina Layered Necklace,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
180,rainbow-bagutte-stack,Rainbow bagutte adjustable stack,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
182,pearl-necklace,Pearl Necklace,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
184,bow-necklace,Bow Necklace,active,,Default Title,400.00,,400.00,240.00,400.00,Current variant price
186,saagar-necklace,Ocean Necklace,active,,Default Title,450.00,0.00,450.00,270.00,450.00,Current variant price
188,teen-pari-necklace,Stella Luxe Trinity Necklace,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
190,lakeer-necklace,Lakeer Necklace,active,,Default Title,350.00,500.00,500.00,300.00,500.00,Existing positive compare-at price
193,cartier-diamond-nail-studded,Love Diamond Nail Bracelet,active,,Default Title,450.00,700.00,700.00,420.00,700.00,Existing positive compare-at price
195,twilight-wrap-bracelet,Twilight Wrap Bracelet,active,,Default Title,575.00,,575.00,345.00,575.00,Current variant price
197,swarovski-oval-crystal-bracelet,Swarovski Oval Crystal Bracelet,active,,Default Title,900.00,,900.00,540.00,900.00,Current variant price
198,golden-bloom-bracelet,Golden Bloom Bracelet,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
199,cartier-bracelet,Love Baby Size Bracelet,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
200,golden-dots-bracelet,Golden Dots Bracelet,active,,Default Title,575.00,,575.00,345.00,575.00,Current variant price
201,luxe-open-cuff-bracelet,Luxe Open Cuff Bracelet,active,,Default Title,500.00,,500.00,300.00,500.00,Current variant price
202,trinity-heart-bracelet,Trinity Heart Bracelet,active,,Default Title,599.00,,599.00,359.40,599.00,Current variant price
203,elara-crystal-bracelet,Elara Crystal Openable Bracelet,active,,Default Title,599.00,,599.00,359.40,599.00,Current variant price
205,aurora-curve-bracelet,Aurora Curve Bracelet,active,,Default Title,499.00,,499.00,299.40,499.00,Current variant price
207,luxe-chain-bracelet,Luxe Chain Bracelet,active,,Default Title,599.00,,599.00,359.40,599.00,Current variant price
208,ivory-clover-bracelet-18k-gold-plated-anti-tarnish,Ivory Clover Bracelet | 18K Gold Plated | Anti Tarnish,active,,Default Title,599.00,,599.00,359.40,599.00,Current variant price
210,celeste-white-stone-bracelet,Celeste White Stone Bracelet,active,,Default Title,499.00,,499.00,299.40,499.00,Current variant price
212,divine-glow-kada-bracelet,Divine Glow Kada Bracelet,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
214,emerald-glow-free-size-bangle,Emerald Glow Free Size Bangle,active,,Default Title,550.00,,550.00,330.00,550.00,Current variant price
217,athena-bangle-bracelet,Athena Bangle Bracelet,active,,Default Title,499.00,,499.00,299.40,499.00,Current variant price
219,evil-eye-protection-bracelet,Evil Eye Protection Bracelet,active,,Default Title,499.00,,499.00,299.40,499.00,Current variant price
224,the-sparkling-heart-earrings,The Sparkling Heart Earrings,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
225,flower-hoops,Flower Hoops,active,,Default Title,430.00,,430.00,258.00,430.00,Current variant price
228,crystal-heart-shaped-studs,Crystal heart shaped studs,active,,Default Title,450.00,,450.00,270.00,450.00,Current variant price
