Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lover-heart-necklace,Lover Heart Necklace,"<p>Meet the <strong>Lover Heart Necklace</strong> — a delicate little reminder to wear your heart out loud. 💛</p>
<p>Designed with <strong>three beautiful heart details and sparkling stone accents</strong>, this dainty gold necklace adds just the right amount of romance and shine to your everyday look. Minimal enough for daily wear yet elegant enough for date nights, brunches, parties and gifting, it's the kind of piece you'll keep reaching for.</p>
<p>Crafted in <strong>premium stainless steel with a beautiful gold finish</strong>, the Lover Heart Necklace is designed for long-lasting wear and is <strong>anti-tarnish, waterproof and hypoallergenic</strong>.</p>
<h3></h3>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,"",Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,450.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-3447.png?v=1786951535,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
lover-heart-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-3446.png?v=1786951535,2,"",,,,,,,,,,,,,,,,,,,,,
untitled-aug17_12-42-17,Untitled Aug17_12:42:17,,House of Yeashi,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,kg,,,draft
seraphina-braid-watch-stainless-steel-18k-gold-plated,Seraphina Braid Watch| Stainless Steel| 18k gold plated,"<ul data-start=""1088"" data-end=""1406"">
<li data-start=""1088"" data-end=""1120"">✨ Premium 18K Gold PVD Plating</li>
<li data-start=""1121"" data-end=""1153"">⌚ Elegant teardrop-shaped dial</li>
<li data-start=""1154"" data-end=""1190"">💛 Intricate woven bracelet design</li>
<li data-start=""1191"" data-end=""1232"">🌿 Premium stainless steel construction</li>
<li data-start=""1233"" data-end=""1254"">💧 Splash resistant</li>
<li data-start=""1255"" data-end=""1324"">👗 Perfect for everyday wear, parties, weddings &amp; festive occasions</li>
<li data-start=""1325"" data-end=""1406"">🎁 Ideal gift for birthdays, anniversaries, Valentine's Day &amp; special occasions</li>
</ul>",House of Yeashi,Apparel & Accessories > Jewelry > Watches,Watch,Watch,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,950.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/151436AF-7D05-4EE8-B1E7-D69D33423705.jpg?v=1786028044,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
seraphina-braid-watch-stainless-steel-18k-gold-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/B2B69D0D-AEE8-4B99-8E93-35F99ECE1DF0.gif?v=1786028045,2,"",,,,,,,,,,,,,,,,,,,,,
aurea-woven-luxe-watch-18k-gold-plated-stainless-steel-womens-bracelet-watch,Auréa Woven Luxe Watch – 18K Gold Plated Stainless Steel Women's Bracelet Watch,"<ul data-start=""1088"" data-end=""1406"">
<li data-start=""1088"" data-end=""1120"">✨ Premium 18K Gold PVD Plating</li>
<li data-start=""1121"" data-end=""1153"">⌚ Elegant teardrop-shaped dial</li>
<li data-start=""1154"" data-end=""1190"">💛 Intricate woven bracelet design</li>
<li data-start=""1191"" data-end=""1232"">🌿 Premium stainless steel construction</li>
<li data-start=""1233"" data-end=""1254"">💧 Splash resistant</li>
<li data-start=""1255"" data-end=""1324"">👗 Perfect for everyday wear, parties, weddings &amp; festive occasions</li>
<li data-start=""1325"" data-end=""1406"">🎁 Ideal gift for birthdays, anniversaries, Valentine's Day &amp; special occasions</li>
</ul>",House of Yeashi,Apparel & Accessories > Jewelry > Watches,Watch,Watch,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,950.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/4C8048D4-A4CF-47C2-86C0-3554EDB10F8B.jpg?v=1786024217,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
midnight-mesh-heart-bracelet-18k-gold-plated-anti-tarnish,Midnight Mesh Heart Bracelet| 18k gold plated| Anti Tarnish,"<p> </p>
<li data-start=""956"" data-end=""993"">❤️ Three elegant black heart charms</li>
<li data-start=""994"" data-end=""1026"">✨ Premium 18K Gold PVD Plating</li>
<li data-start=""1027"" data-end=""1060"">💧 Waterproof &amp; Sweat Resistant</li>
<li data-start=""1061"" data-end=""1084"">✨ Anti-Tarnish Finish</li>
<li data-start=""1085"" data-end=""1120"">🌿 Hypoallergenic &amp; Skin-Friendly</li>
<li data-start=""1121"" data-end=""1173"">🔗 Adjustable extender chain for a comfortable fit</li>
<li data-start=""1174"" data-end=""1238"">👗 Perfect for daily wear, office, parties &amp; special occasions</li>
<li data-start=""1239"" data-end=""1337"">🎁 A thoughtful gift for birthdays, anniversaries, Valentine's Day, Rakhi &amp; festive celebrations</li>
<p> </p>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,550.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2929.png?v=1786024130,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
midnight-mesh-heart-bracelet-18k-gold-plated-anti-tarnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2928.png?v=1786024130,2,"",,,,,,,,,,,,,,,,,,,,,
crystal-snake-chain-bracelet-18k-gold-plated-anti-tarnish,Crystal Snake Chain Bracelet| 18k gold plated| Anti Tarnish,"<ul data-start=""1035"" data-end=""1344"">
<li data-start=""1075"" data-end=""1108""><span>18K Gold PVD Plated Stainless Steel</span></li>
<li data-start=""1075"" data-end=""1108"">💧 Waterproof &amp; Sweat Resistant</li>
<li data-start=""1109"" data-end=""1132"">✨ Anti-Tarnish Finish</li>
<li data-start=""1133"" data-end=""1168"">🌿 Hypoallergenic &amp; Skin-Friendly</li>
<li data-start=""1169"" data-end=""1200"">💎 Crystal-Studded Bar Detail</li>
<li data-start=""1201"" data-end=""1255"">👗 Perfect for Daily Wear, Office, Parties &amp; Gifting</li>
<li data-start=""1256"" data-end=""1344"">🎁 Ideal gift for birthdays, anniversaries, Rakhi, Valentine's Day &amp; festive occasions</li>
</ul>
<h3 data-start=""1346"" data-end=""1366""></h3>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2923.png?v=1786023694,1,"",false,,,,,,d-golden,,,,,,,,,,,kg,,150.00,active
crystal-snake-chain-bracelet-18k-gold-plated-anti-tarnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2925.png?v=1786023694,2,"",,,,,,,,,,,,,,,,,,,,,
celeste-double-chain-bracelet-anti-tarnish-18k-gold-plated,Celeste Double Chain Bracelet| Anti Tarnish| 18k gold Plated,"<ul data-start=""1141"" data-end=""1484"">
<li data-start=""1141"" data-end=""1175"">✨ Premium 18K Gold Plated Finish</li>
<li data-start=""1176"" data-end=""1209"">💧 Waterproof &amp; Sweat Resistant</li>
<li data-start=""1210"" data-end=""1245"">🛡️ Anti Tarnish &amp; Fade Resistant</li>
<li data-start=""1246"" data-end=""1281"">🌿 Hypoallergenic &amp; Skin Friendly</li>
<li data-start=""1282"" data-end=""1327"">💎 Sparkling High-Quality Crystal Detailing</li>
<li data-start=""1328"" data-end=""1360"">🔗 Elegant Double Chain Design</li>
<li data-start=""1361"" data-end=""1412"">📏 Adjustable Extension Chain for Comfortable Fit</li>
<li data-start=""1413"" data-end=""1484"">🎁 Ideal Gift for Birthdays, Anniversaries, Rakhi &amp; Special Occasions</li>
</ul>
<hr data-start=""1486"" data-end=""1489"">
<h3 data-start=""1491"" data-end=""1532""></h3>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,4,deny,manual,600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2916.png?v=1786022329,1,"",false,,,,,,d-golden,,,,,,,,,,,kg,,140.00,active
celeste-double-chain-bracelet-anti-tarnish-18k-gold-plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2918.png?v=1786022329,2,"",,,,,,,,,,,,,,,,,,,,,
green-crystal-tennis-bracelet-for-women-waterproof-anti-tarnish,Green Crystal Tennis Bracelet for Women | Waterproof Anti Tarnish,"<p data-start=""1295"" data-end=""1602"">• Premium Emerald Green Crystal Tennis Bracelet<br>• Anti Tarnish &amp; Waterproof<br>• Hypoallergenic &amp; Skin-Friendly<br>• Lightweight &amp; Comfortable for Everyday Wear<br>• Elegant Silver Finish<br>• Secure Clasp Closure<br>• Perfect for Parties, Weddings, Office &amp; Daily Styling<br>• Ideal Gift for Birthdays, Anniversaries &amp; Rakhi</p>
<p data-start=""1604"" data-end=""1722"">Pair it with your favourite watch, stack it with other bracelets, or wear it alone for an effortlessly luxurious look.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2914.png?v=1786021047,1,"",false,,,,,,green,,,,,,,,,,,kg,,90.00,active
green-crystal-tennis-bracelet-for-women-waterproof-anti-tarnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2913.png?v=1786021047,2,"",,,,,,,,,,,,,,,,,,,,,
golden-fringe-necklace,Golden Fringe Necklace,<p><span>Minimal | Anti-Tarnish | Waterproof | Everyday Wear</span></p>,House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Necklace,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2804.png?v=1785916855,1,"",false,,,,,,d-golden; c-white,,stainless-steel; gold-plated,,,,,,,,,kg,,72.00,active
golden-fringe-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2801.png?v=1785916855,2,"",,,,,,,,,,,,,,,,,,,,,
golden-fringe-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/B59DFC53-B46E-489B-8AAD-1E26EFD5C1DF.jpg?v=1785916835,3,"",,,,,,,,,,,,,,,,,,,,,
luna-heart-lariat-necklace,Luna Heart Lariat Necklace,"<p><span>Fall in love with effortless elegance. The Luna</span><strong data-start=""143"" data-end=""174""> Heart Lariat Necklace</strong><span> features delicate heart charms paired with a graceful drop design that beautifully elongates the neckline. Crafted with premium </span><strong data-start=""303"" data-end=""327"">18K PVD gold plating</strong><span>, it's waterproof, anti-tarnish, hypoallergenic, and made for everyday wear. Whether you're dressing up for brunch, date night, or a special occasion, this timeless piece adds just the right touch of romance.</span></p>",House of Yeashi,Apparel & Accessories > Jewelry > Necklaces,Jewellery,Necklace,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,500.00,550.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2795.png?v=1785914733,1,"",false,,,,,,d-golden,,,,,,,,,,,kg,,,active
luna-heart-lariat-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2796.png?v=1785914733,2,"",,,,,,,,,,,,,,,,,,,,,
sister-rakhi-hamper,Sister Rakhi Hamper,<p>A premium hamper to gift your sister this rakshabandhan </p>,House of Yeashi,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,5,deny,manual,1199.00,2100.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/A419C183-4D87-4281-80FC-A43A3BE051E8.png?v=1785835297,1,"",false,,,,,,,,,,,,,,,,,kg,,,active
sister-rakhi-hamper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/5BD44E4C-DE52-42F7-B26E-6ABE0AED5C69.png?v=1785835274,2,"",,,,,,,,,,,,,,,,,,,,,
aurora-tennis-bracelet,Aurora Tennis Bracelet,"<p data-start=""456"" data-end=""724"">Delicate, colourful and effortlessly elegant—the bracelet  is designed to add a subtle pop of colour to every outfit. Featuring sparkling pastel-toned stones set in a sleek gold finish, this bracelet is perfect for both everyday wear and special occasions.</p>
<p data-start=""726"" data-end=""957"">Crafted from premium stainless steel with PVD gold plating, it is anti-tarnish, waterproof and made for long-lasting shine. Wear it alone for a minimal look or stack it with your favourite bracelets and watch for an elevated style.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,750.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2257.png?v=1785231845,1,"",false,,,,,,,,gold-plated; stainless-steel,,,,,,,,,kg,,270.00,active
aurora-tennis-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2258.png?v=1785231845,2,"",,,,,,,,,,,,,,,,,,,,,
cotton-candy-tennis-bracelet,Cotton Candy Tennis Bracelet,"<p data-start=""456"" data-end=""724"">Delicate, colourful and effortlessly elegant—the bracelet is designed to add a subtle pop of colour to every outfit. Featuring sparkling pastel-toned stones set in a sleek gold finish, this bracelet is perfect for both everyday wear and special occasions.</p>
<p data-start=""726"" data-end=""957"">Crafted from premium stainless steel with PVD gold plating, it is anti-tarnish, waterproof and made for long-lasting shine. Wear it alone for a minimal look or stack it with your favourite bracelets and watch for an elevated style.</p>",House of Yeashi,Apparel & Accessories > Jewelry > Bracelets,Bracelet,bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,750.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2255.png?v=1785231273,1,"",false,,,,,,,,,,,,,,,,,kg,,270.00,active
cotton-candy-tennis-bracelet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0982/4505/0690/files/IMG-2254.png?v=1785231273,2,"",,,,,,,,,,,,,,,,,,,,,
